"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Adolfo Machado","PAN","Houston","MLS","2018","","32","36","DF","PossessionOrientedCentralDefender","1697","18","10.5","89.5","Right","-0.2","-0.03","2.55","-0.23","0.14","-0.02","236508","310867","","","156644"
"Fran Merida","ESP","Osasuna","La Liga","2019-2020","1695.54","29","31","MF","DefensiveCentralProgressor","1161","12","86.94","13.06","Left","-0.2","0.02","1.86","-0.13","0.14","0.02","","","1000000","4804103",""
"Etienne Capoue","FRA","Watford","Premier League","2017-2018","1622.38","29","33","MF","DefensiveCentralProgressor","1542","18","14.69","85.31","Right","-0.2","-0.02","1.86","-0.13","0.11","-0.02","","","5200000","",""
"Kenedy","BRA","Newcastle Utd","Premier League","2018-2019","1715.6","22","25","MF,FW","AttackingCentralProgressor","1348","14","84.65","15.35","Left","-0.2","0","2.45","-0.31","0.16","0","1715129","1977459","","",""
"Patrik Schick","CZE","Roma","Serie A","2017-2018","1846.35","21","25","FW","Finisher","992","10","86.56","13.44","Left","-0.2","0","2.79","-0.56","0.25","0","","","","",""
"Connor Lade","USA","NY Red Bulls","MLS","2018","","28","32","DF","DefensiveWideProgressor","1318","15","28.08","71.92","Right","-0.2","0.02","2.66","-0.02","0.18","0.02","","","","","163402"
"Reinildo Mandava","MOZ","Lille","Ligue 1","2020-2021","1752.15","27.3","27","DF","OffensiveWideProgressor","2002","22","86.82","13.18","Left","-0.2","-0.04","3.22","0.07","0.14","-0.03","","","3000000","",""
"Jaume Costa","ESP","Valencia","La Liga","2019-2020","1733.38","31","33","DF","DefensiveWideProgressor","1389","15","74.25","25.75","Left","-0.2","-0.02","2.09","-0.58","0.14","-0.02","","","2500000","2711837",""
"Adrian Stoian","ROU","Crotone","Serie A","2017-2018","1542.79","26","30","MF,FW","Playmaker","2133","26","16.7","83.3","Right","-0.2","-0.08","3.73","0.03","0.16","-0.07","","","","",""
"Paul Lasne","FRA","Montpellier","Ligue 1","2018-2019","1617.81","29","32","MF,DF","AttackingCentralProgressor","1789","18","56.53","43.47","Dual","-0.2","-0.02","2.93","0.17","0.15","-0.02","903621","958305","","",""
"Edinson Cavani","URU","Paris S-G","Ligue 1","2019-2020","1895.8","32","34","FW","Finisher","605","7","17.69","82.31","Right","-0.2","0.29","3.62","0.26","0.54","0.29","20828522","18703300","20000000","18716583",""
"Per Ciljan Skjelbred","NOR","Hertha BSC","Bundesliga","2019-2020","1648.52","32","34","MF","DefensiveCentralProgressor","1628","21","5.97","94.03","Right","-0.2","-0.03","1.7","-0.3","0.09","-0.03","","","1000000","1452833",""
"Josan","ESP","Elche","La Liga","2020-2021","1560.57","31.44","32","MF,DF","OffensiveWideProgressor","1720","21","13.96","86.04","Right","-0.2","0","3.42","0.27","0.18","0","","","","",""
"Munir El Haddadi","ESP","Sevilla","La Liga","2019-2020","1827.37","23","26","FW","Dribbler","1250","14","88.52","11.48","Left","-0.21","-0.04","2.79","-0.14","0.2","-0.04","5635474","3410976","10000000","17129000",""
"Fode Ballo-Toure","FRA","Lille","Ligue 1","2017-2018","1532.95","20","24","DF","OffensiveWideProgressor","2055","25","84.3","15.7","Left","-0.21","-0.06","2.54","-0.61","0.11","-0.07","","","","",""
"Brandt Bronico","USA","Chicago","MLS","2019","","23","26","MF,DF","OffensiveWideProgressor","1866","20","16.01","83.99","Right","-0.21","-0.05","2.54","-0.61","0.12","-0.06","90625","157105","750000","","156030"
"Matthias Lehmann","GER","Koln","Bundesliga","2017-2018","1543.68","34","38","MF","DefensiveCentralProgressor","1515","17","17.7","82.3","Right","-0.21","-0.02","1.69","-0.3","0.1","-0.02","","","","",""
"Kelvin Amian","FRA","Toulouse","Ligue 1","2019-2020","1403.91","21","23","DF","DefensiveWideProgressor","1633","17","10.23","89.77","Right","-0.21","-0.03","2.26","-0.41","0.12","-0.03","307616","931829","5400000","4401462",""
"Alessandro Florenzi","ITA","Roma","Serie A","2019-2020","1737.04","28","30","DF,FW","DefensiveWideProgressor","997","12","4.84","95.16","Right","-0.21","0.08","2.65","-0.02","0.24","0.08","5863924","2943733","10000000","8661927",""
"Georginio Wijnaldum","NED","Liverpool","Premier League","2017-2018","1913.55","26","31","MF","AttackingCentralProgressor","2387","27","13.11","86.89","Right","-0.21","-0.06","2.92","0.16","0.11","-0.06","","","40000000","",""
"Adrian Mariappa","JAM","Watford","Premier League","2018-2019","1685.23","31","35","DF","LowBlockCentralDefender","1927","20","10.31","89.69","Right","-0.21","-0.02","2.42","0","0.11","-0.02","1029077","1784420","1600000","",""
"Valere Germain","FRA","Marseille","Ligue 1","2018-2019","1636.44","28","31","FW","Finisher","2170","23","12.5","87.5","Right","-0.21","-0.11","3.38","0.02","0.14","-0.11","2434914","2447699","","",""
"Luis Milla","ESP","Granada","La Liga","2020-2021","1684.27","26.59","27","MF","DefensiveCentralProgressor","1253","14","9.6","90.4","Right","-0.21","0.01","1.85","-0.14","0.13","0.01","","","","",""
"Alex Iwobi","NGA","Everton","Premier League","2019-2020","1720.04","23","25","MF,FW","Playmaker","1596","19","11.11","88.89","Right","-0.21","-0.03","3.41","-0.3","0.19","-0.04","","","25500000","21246377",""
"Renato Steffen","SUI","Wolfsburg","Bundesliga","2020-2021","1773.87","29.52","30","FW,MF","Playmaker","1566","19","85.32","14.68","Left","-0.21","-0.02","3.73","0.02","0.21","-0.02","","","4500000","",""
"Gabriel Dos Santos","BRA","Lille","Ligue 1","2018-2019","1672.55","20","24","DF","LowBlockCentralDefender","1066","11","92.23","7.77","Left","-0.21","0.02","1.86","-0.56","0.16","0.02","","","","",""
"Jeff Reine-Adelaide","FRA","Nice","Ligue 1","2020-2021","1567.59","23.31","23","MF,FW","AttackingCentralProgressor","1058","12","10.47","89.53","Right","-0.21","0.08","2.92","0.16","0.25","0.08","","","","",""
"Fernando Marcal","BRA","Lyon","Ligue 1","2017-2018","1764.4","28","32","DF","DefensiveWideProgressor","1295","14","92.42","7.58","Left","-0.21","0.02","2.65","-0.03","0.18","0.03","","","","",""
"Steven Alzate","COL","Brighton","Premier League","2019-2020","1658.11","20","23","MF,DF","OffensiveWideProgressor","1188","12","5.26","94.74","Right","-0.21","0.02","2.53","-0.62","0.19","0.01","","","2300000","4770407",""
"Niko Hansen","DEN","Columbus","MLS","2018","","23","27","FW","Dribbler","1030","11","12.8","87.2","Right","-0.21","0.01","2.78","-0.14","0.24","0","75750","663248","","","170773"
"Wylan Cyprien","FRA","Nice","Ligue 1","2017-2018","1637.11","22","26","MF","DefensiveCentralProgressor","949","10","16.33","83.67","Right","-0.21","0.05","1.78","-0.21","0.17","0.05","","","14500000","",""
"Francesco Zampano","ITA","Frosinone","Serie A","2018-2019","1453.52","24","28","DF,MF","OffensiveWideProgressor","2102","24","16.67","83.33","Right","-0.21","-0.04","3.21","0.06","0.14","-0.04","628803","1265666","","",""
"Lars Bender","GER","Leverkusen","Bundesliga","2020-2021","1739.39","32.04","32","DF","DefensiveCentralProgressor","934","12","12.54","87.46","Right","-0.21","0.04","1.69","-0.31","0.16","0.04","","","7000000","",""
"Andres Guardado","MEX","Betis","La Liga","2019-2020","1666.35","32","35","MF","AttackingCentralProgressor","2046","25","88.39","11.61","Left","-0.21","-0.06","2.34","-0.41","0.1","-0.06","","","2000000","2093505",""
"Theo Walcott","ENG","Everton","Premier League","2017-2018","1695.62","28","32","FW,MF","Dribbler","1152","13","4.55","95.45","Right","-0.22","-0.02","2.84","-0.08","0.22","-0.02","","","12000000","",""
"Dennis Appiah","FRA","Nantes","Ligue 1","2019-2020","1569.26","27","29","DF","DefensiveWideProgressor","1605","18","11.85","88.15","Right","-0.22","-0.01","2.64","-0.03","0.15","-0.01","","","1400000","1782151",""
"Ray Gaddis","USA","Philadelphia","MLS","2018","","28","31","DF","OffensiveWideProgressor","2299","25","17.68","82.32","Right","-0.22","-0.06","3.21","0.05","0.13","-0.05","182500","273882","","","197188"
"Ander Capa","ESP","Athletic Club","La Liga","2018-2019","1718.35","26","29","DF","OffensiveWideProgressor","1642","17","9.23","90.77","Right","-0.22","-0.01","3.21","0.05","0.18","0","1329985","1149033","5000000","",""
"Lukas Rupp","GER","Hoffenheim","Bundesliga","2017-2018","1711.01","26","30","MF","AttackingCentralProgressor","1160","15","17.69","82.31","Right","-0.22","0.06","2.91","0.16","0.23","0.06","","","2400000","",""
"Troy Deeney","ENG","Watford","Premier League","2017-2018","1622.38","29","33","FW","Finisher","1844","20","6.31","93.69","Right","-0.22","-0.08","3.37","0.01","0.16","-0.08","","","6500000","",""
"Elseid Hysaj","ALB","Napoli","Serie A","2020-2021","1799.36","27.22","27","DF","DefensiveWideProgressor","1524","17","32.79","67.21","Right","-0.22","0","2.64","-0.03","0.16","0","","","14000000","",""
"Sebastian Langkamp","GER","Werder Bremen","Bundesliga","2018-2019","1717.33","30","33","DF","PossessionOrientedCentralDefender","1414","15","13","87","Right","-0.22","0.02","2.8","0.01","0.18","0.02","882133","1665229","800000","",""
"Emre Can","GER","Dortmund","Bundesliga","2019-2020","1834.14","25","27","MF,DF","DefensiveCentralProgressor","955","10","19.97","80.03","Right","-0.22","0.05","1.84","-0.15","0.17","0.05","","","26000000","19959917",""
"Arber Zeneli","KVX","Reims","Ligue 1","2018-2019","1583.48","23","26","FW,MF","Dribbler","810","8","9.96","90.04","Right","-0.22","0.07","2.77","-0.15","0.31","0.07","991834","1327170","","",""
"Juan Jesus","BRA","Roma","Serie A","2017-2018","1846.35","26","30","DF","PossessionOrientedCentralDefender","1658","18","85.11","14.89","Left","-0.22","0","2.8","0.01","0.15","0","","","","",""
"Wesley Said","FRA","Toulouse","Ligue 1","2019-2020","1403.91","24","26","MF,FW","Dribbler","1160","14","23.02","76.98","Right","-0.22","-0.02","2.83","-0.09","0.22","-0.02","","","4000000","3613808",""
"Victorien Angban","CIV","Metz","Ligue 1","2020-2021","1544.02","24.61","25","MF","DefensiveCentralProgressor","1672","21","11.97","88.03","Right","-0.22","-0.03","1.84","-0.16","0.1","-0.02","","","2800000","",""
"Patric","ESP","Lazio","Serie A","2018-2019","1658.64","25","28","DF,MF","DefensiveCentralProgressor","1085","12","14.37","85.63","Right","-0.22","0.03","1.84","-0.16","0.15","0.03","1674922","1491118","9000000","",""
"Florent Balmont","FRA","Dijon","Ligue 1","2017-2018","1549.68","37","41","MF","AttackingCentralProgressor","860","9","4.93","95.07","Right","-0.22","-0.03","1.01","-1.75","0.11","-0.06","","","","",""
"Paulo Oliveira","POR","Eibar","La Liga","2020-2021","1625.87","29.34","29","DF","PossessionOrientedCentralDefender","2386","26","6.33","93.67","Right","-0.22","-0.05","2.8","0.01","0.11","-0.05","","","5000000","",""
"Roberto Gagliardini","ITA","Inter","Serie A","2018-2019","1730.07","24","27","MF","AttackingCentralProgressor","1087","13","11.31","88.69","Right","-0.22","0.07","2.91","0.15","0.24","0.08","3141751","2650091","14000000","",""
"Victor Perea","ESP","Espanyol","La Liga","2019-2020","1607.97","19","21","DF","OffensiveWideProgressor","1270","14","16.37","83.63","Right","-0.22","-0.06","1.54","-1.61","0.11","-0.07","","","","",""
"Aleix Garcia","ESP","Girona","La Liga","2018-2019","1622.19","21","24","MF","AttackingCentralProgressor","1663","20","16.14","83.86","Right","-0.22","-0.03","2.42","-0.33","0.13","-0.03","327973","1049534","","",""
"Benito Raman","BEL","Schalke 04","Bundesliga","2019-2020","1608.03","24","27","FW","Finisher","1601","19","11.69","88.31","Right","-0.22","-0.06","3.37","0.01","0.19","-0.06","","","8000000","11818840",""
"Miiko Albornoz","CHI","Hannover 96","Bundesliga","2018-2019","1527.5","27","31","DF,MF","DefensiveWideProgressor","1660","19","86.48","13.52","Left","-0.22","-0.02","2.64","-0.04","0.14","-0.02","882133","1350484","","",""
"Nikola Maksimovic","SRB","Napoli","Serie A","2020-2021","1799.36","29.46","30","DF","LowBlockCentralDefender","1207","12","5.96","94.04","Right","-0.22","0.04","2.26","-0.15","0.17","0.04","","","","",""
"Oliver Burke","SCO","Alaves","La Liga","2019-2020","1642.09","22","24","MF,FW","Finisher","1429","14","10.85","89.15","Right","-0.22","-0.08","2.77","-0.59","0.17","-0.07","","","","",""
"Malick Thiaw","GER","Schalke 04","Bundesliga","2020-2021","1503.52","19.76","20","DF","LowBlockCentralDefender","1452","15","23.62","76.38","Right","-0.23","-0.02","1.84","-0.58","0.11","-0.02","","","","",""
"Edimilson Fernandes","SUI","Mainz 05","Bundesliga","2019-2020","1652.84","23","25","MF,DF","DefensiveCentralProgressor","1484","18","10.1","89.9","Right","-0.23","-0.02","1.77","-0.23","0.11","-0.02","","","5500000","6056880",""
"Federico Bernardeschi","ITA","Juventus","Serie A","2019-2020","1860.02","25","27","MF,FW","Playmaker","1571","19","95.74","4.26","Left","-0.23","-0.02","3.71","0","0.21","-0.02","6283503","5184826","25000000","26316900",""
"Ivan Radovanovic","SRB","Genoa","Serie A","2019-2020","1536.21","30","33","MF","DefensiveCentralProgressor","1318","15","12.77","87.23","Right","-0.23","0","1.83","-0.16","0.12","0","1255343","3862148","","",""
"Olivier Giroud","FRA","Chelsea","Premier League","2019-2020","1823.89","32","35","FW","Finisher","993","12","81.33","18.67","Left","-0.23","0.07","3.6","0.24","0.33","0.08","","","7000000","18440210",""
"Mexer","MOZ","Bordeaux","Ligue 1","2019-2020","1587.32","30","33","DF","LowBlockCentralDefender","1488","16","8.76","91.24","Right","-0.23","0.01","2.26","-0.16","0.14","0","","","3200000","3612327",""
"Cristian Molinaro","ITA","Frosinone","Serie A","2018-2019","1453.52","35","38","DF,MF","DefensiveWideProgressor","1159","13","87.17","12.83","Left","-0.23","0","2.06","-0.61","0.16","0","1047250","1866975","","",""
"Antonito","ESP","Valladolid","La Liga","2018-2019","1613.73","30","34","DF,MF","OffensiveWideProgressor","1863","18","10.29","89.71","Right","-0.23","-0.03","3.19","0.04","0.15","-0.03","632195","1338370","","",""
"Douglas Costa","BRA","Juventus","Serie A","2019-2020","1860.02","28","31","FW,MF","Dribbler","802","7","91.42","8.58","Left","-0.23","0.08","2.82","-0.1","0.32","0.08","12565874","9526207","20000000","18291700",""
"John Stones","ENG","Manchester City","Premier League","2019-2020","1988.88","25","27","DF","PossessionOrientedCentralDefender","1122","12","10.93","89.07","Right","-0.23","0.07","2.79","0","0.22","0.07","6860516","7136057","30000000","27924117",""
"Russell Teibert","CAN","Vancouver","MLS","2018","","25","29","MF","DefensiveCentralProgressor","1606","17","83.5","16.5","Left","-0.23","-0.02","1.83","-0.17","0.1","-0.02","160000","310184","800000","","112416"
"Kenedy","BRA","Granada","La Liga","2020-2021","1684.27","25.25","25","FW,MF","Dribbler","1471","18","84.54","15.46","Left","-0.23","-0.07","2.82","-0.1","0.17","-0.07","","","","",""
"Borja Iglesias","ESP","Betis","La Liga","2019-2020","1666.35","26","28","FW","Finisher","1922","21","20.46","79.54","Right","-0.23","-0.09","3.36","0","0.16","-0.09","","","8000000","7165873",""
"Sami Khedira","GER","Juventus","Serie A","2017-2018","1958.95","30","34","MF","AttackingCentralProgressor","1912","24","11.56","88.44","Right","-0.23","-0.03","2.9","0.14","0.14","-0.03","","","4000000","",""
"Joao Moutinho","POR","Orlando City","MLS","2019","","21","23","DF","OffensiveWideProgressor","1220","15","91.49","8.51","Left","-0.23","0.01","2.51","-0.64","0.19","0.01","203000","161608","800000","","154187"
"Jordi Amat","ESP","Betis","La Liga","2017-2018","1723.9","25","29","DF,MF","PossessionOrientedCentralDefender","2047","24","21.17","78.83","Right","-0.23","-0.03","2.79","0","0.12","-0.03","","","","",""
"Jessy Deminguet","FRA","Caen","Ligue 1","2017-2018","1479.19","19","23","MF,FW","Playmaker","534","5","91.88","8.12","Left","-0.23","-0.04","0.95","-2.76","0.16","-0.07","","","","",""
"Ayoze Perez","ESP","Leicester City","Premier League","2020-2021","1815.46","27.8","28","FW,MF","Dribbler","1166","13","8.77","91.23","Right","-0.23","-0.02","2.82","-0.1","0.22","-0.02","","","24000000","",""
"Carlos Ascues","PER","Orlando City","MLS","2019","","26","29","MF,DF","DefensiveCentralProgressor","1111","14","12.5","87.5","Right","-0.23","0.02","1.83","-0.17","0.15","0.02","451500","554434","","","112416"
"Jukka Raitala","FIN","Montreal","MLS","2019","","30","33","DF","PossessionOrientedCentralDefender","2084","23","83.95","16.05","Left","-0.23","-0.04","2.78","0","0.12","-0.03","290500","372007","750000","","170773"
"Mario Suarez","ESP","Rayo Vallecano","La Liga","2018-2019","1581.15","31","34","MF","DefensiveCentralProgressor","1026","11","13.44","86.56","Right","-0.24","0.03","1.66","-0.33","0.15","0.02","948859","1483918","","",""
"Nadiem Amiri","GER","Leverkusen","Bundesliga","2020-2021","1739.39","24.54","25","MF","AttackingCentralProgressor","1823","19","13.31","86.69","Right","-0.24","-0.03","2.89","0.14","0.14","-0.02","","","16000000","",""
"Steven Moreira","FRA","Toulouse","Ligue 1","2019-2020","1403.91","24","27","DF","DefensiveWideProgressor","1389","16","9.56","90.44","Right","-0.24","0.01","2.62","-0.05","0.17","0.01","607315","1100280","1200000","1850957",""
"Youssef En-Nesyri","MAR","Malaga","La Liga","2017-2018","1580.85","20","24","FW","Finisher","1601","16","86.46","13.54","Left","-0.24","-0.1","2.76","-0.6","0.15","-0.09","","","","",""
"Takashi Inui","JPN","Eibar","La Liga","2019-2020","1684.45","31","33","MF,FW","Dribbler","1960","23","8.29","91.71","Right","-0.24","-0.08","3.73","0.81","0.17","-0.07","","","2400000","3140458",""
"Tom Cairney","SCO","Fulham","Premier League","2018-2019","1585.52","27","30","MF,FW","AttackingCentralProgressor","2194","24","89.57","10.43","Left","-0.24","-0.05","2.89","0.13","0.12","-0.05","2744206","3401307","","",""
"Josip Brekalo","CRO","Stuttgart","Bundesliga","2017-2018","1658.9","19","23","MF,FW","Dribbler","726","7","19.2","80.8","Right","-0.24","-0.06","1.49","-1.43","0.19","-0.05","","","","",""
"Pedro Mendes","POR","Montpellier","Ligue 1","2019-2020","1610.98","28","31","DF","PossessionOrientedCentralDefender","1376","16","10.12","89.88","Right","-0.24","0.03","2.78","-0.01","0.18","0.03","878740","1426946","4800000","4614445",""
"Pedro Chirivella","ESP","Nantes","Ligue 1","2020-2021","1552.55","23.97","24","MF","DefensiveCentralProgressor","2100","24","13.63","86.37","Right","-0.24","-0.05","1.82","-0.18","0.08","-0.05","","","","",""
